tamano_cola,capacidad_total,lambda_sobre_mu,lambda,corrida,prob_denegacion,P_bloqueo_teorico
0,1,1.25,12.5,2,0.5561820378574305,0.5555555555555556
0,1,1.25,12.5,3,0.5512665862484921,0.5555555555555556
0,1,1.25,12.5,4,0.5270435136234242,0.5555555555555556
0,1,1.25,12.5,5,0.5632458233890215,0.5555555555555556
0,1,1.25,12.5,6,0.5568362480127186,0.5555555555555556
0,1,1.25,12.5,7,0.5639278557114229,0.5555555555555556
0,1,1.25,12.5,8,0.5358014646053703,0.5555555555555556
0,1,1.25,12.5,9,0.5373949579831933,0.5555555555555556
0,1,1.25,12.5,10,0.5706521739130435,0.5555555555555556
2,3,0.25,2.5,1,0.013618677042801557,0.011764705882352941
2,3,0.25,2.5,2,0.014285714285714285,0.011764705882352941
2,3,0.25,2.5,3,0.010121457489878543,0.011764705882352941
2,3,0.25,2.5,4,0.006535947712418301,0.011764705882352941
2,3,0.25,2.5,5,0.018796992481203006,0.011764705882352941
2,3,0.25,2.5,6,0.00808080808080808,0.011764705882352941
2,3,0.25,2.5,7,0.0020408163265306124,0.011764705882352941
2,3,0.25,2.5,8,0.01893939393939394,0.011764705882352941
2,3,0.25,2.5,9,0.009578544061302681,0.011764705882352941
2,3,0.25,2.5,10,0.004784688995215311,0.011764705882352941
2,3,0.5,5.0,1,0.08097165991902834,0.06666666666666667
2,3,0.5,5.0,2,0.08366141732283465,0.06666666666666667
2,3,0.5,5.0,3,0.05960945529290853,0.06666666666666667
2,3,0.5,5.0,4,0.050682261208576995,0.06666666666666667
2,3,0.5,5.0,5,0.07100591715976332,0.06666666666666667
2,3,0.5,5.0,6,0.06565656565656566,0.06666666666666667
2,3,0.5,5.0,7,0.06686332350049164,0.06666666666666667
2,3,0.5,5.0,8,0.07715430861723446,0.06666666666666667
2,3,0.5,5.0,9,0.06842105263157895,0.06666666666666667
2,3,0.5,5.0,10,0.07101167315175097,0.06666666666666667
2,3,0.75,7.5,1,0.1636828644501279,0.15428571428571428
2,3,0.75,7.5,2,0.17117726657645466,0.15428571428571428
2,3,0.75,7.5,3,0.14965986394557823,0.15428571428571428
2,3,0.75,7.5,4,0.16688741721854305,0.15428571428571428
2,3,0.75,7.5,5,0.15736381977135172,0.15428571428571428
2,3,0.75,7.5,6,0.16963064295485636,0.15428571428571428
2,3,0.75,7.5,7,0.1646981627296588,0.15428571428571428
2,3,0.75,7.5,8,0.14757281553398058,0.15428571428571428
2,3,0.75,7.5,9,0.13783783783783785,0.15428571428571428
2,3,0.75,7.5,10,0.15050847457627117,0.15428571428571428
2,3,1.0,10.0,1,0.24612306153076538,0.25
2,3,1.0,10.0,2,0.24383983572895276,0.25
2,3,1.0,10.0,3,0.23354774863928748,0.25
2,3,1.0,10.0,4,0.27601367855398146,0.25
2,3,1.0,10.0,5,0.28776622090143633,0.25
2,3,1.0,10.0,6,0.23395445134575568,0.25
2,3,1.0,10.0,7,0.25038245792962777,0.25
2,3,1.0,10.0,8,0.2501233349777997,0.25
2,3,1.0,10.0,9,0.24373464373464374,0.25
2,3,1.0,10.0,10,0.24862979571499752,0.25
2,3,1.25,12.5,1,0.32168968318440294,0.33875338753387535
