tipo_cola,tamano_cola,lambda_sobre_mu,lambda,Q,P_Q_n
infinita,infinita,1.25,12.5,12,0.0023368239567590357
infinita,infinita,1.25,12.5,13,0.0022020796318594853
infinita,infinita,1.25,12.5,14,0.0018498939587480788
infinita,infinita,1.25,12.5,15,0.002134090296741074
infinita,infinita,1.25,12.5,16,0.002542073833170661
infinita,infinita,1.25,12.5,17,0.0024072586689954266
infinita,infinita,1.25,12.5,18,0.0020810747934277896
infinita,infinita,1.25,12.5,19,0.002643126983641851
infinita,infinita,1.25,12.5,20,0.001504087255871331
infinita,infinita,1.25,12.5,21,0.0019664330290532278
infinita,infinita,1.25,12.5,22,0.0015096555673136734
infinita,infinita,1.25,12.5,23,0.001501879778204334
infinita,infinita,1.25,12.5,24,0.001355321988260458
infinita,infinita,1.25,12.5,25,0.0016255366903475215
infinita,infinita,1.25,12.5,26,0.0014587644344138658
infinita,infinita,1.25,12.5,27,0.0016421740755553573
infinita,infinita,1.25,12.5,28,0.0019283606825610238
infinita,infinita,1.25,12.5,29,0.0024705924204891177
infinita,infinita,1.25,12.5,30,0.0024998332728998237
infinita,infinita,1.25,12.5,31,0.002461789912263626
infinita,infinita,1.25,12.5,32,0.002843537868450044
infinita,infinita,1.25,12.5,33,0.002404273315136407
infinita,infinita,1.25,12.5,34,0.002260384066181253
infinita,infinita,1.25,12.5,35,0.002083466163679145
infinita,infinita,1.25,12.5,36,0.0011779397624954347
infinita,infinita,1.25,12.5,37,0.0008548926875266552
infinita,infinita,1.25,12.5,38,0.0009996195831301362
infinita,infinita,1.25,12.5,39,0.001577088610765546
infinita,infinita,1.25,12.5,40,0.001987611249875309
infinita,infinita,1.25,12.5,41,0.0023651713996646244
infinita,infinita,1.25,12.5,42,0.002493513842085285
infinita,infinita,1.25,12.5,43,0.0026052431100444286
infinita,infinita,1.25,12.5,44,0.002823488691263804
infinita,infinita,1.25,12.5,45,0.002409677251010581
infinita,infinita,1.25,12.5,46,0.0017707089453883336
infinita,infinita,1.25,12.5,47,0.0015992555235270997
infinita,infinita,1.25,12.5,48,0.0013319786600311065
infinita,infinita,1.25,12.5,49,0.0014667339211718255
infinita,infinita,1.25,12.5,50,0.0009338671437638153
infinita,infinita,1.25,12.5,51,0.0010599925400482685
infinita,infinita,1.25,12.5,52,0.0017038062496713424
infinita,infinita,1.25,12.5,53,0.0008928727464453657
